"code","name","amount_total_from","region"
"AUS","Australia",66228572560,"Oceania"
"AUT","Austria",177134572368,"Europe"
"BEL","Belgium",319463682300,"Europe"
"CAN","Canada",441451780203,"North America"
"CHE","Switzerland",253902540233,"Europe"
"CHL","Chile",35070652120,"South America"
"CZE","Czech Republic",199125391653,"Europe"
"DEU","Germany",1235638392414,"Europe"
"DNK","Denmark",81520382249,"Europe"
"ESP","Spain",294286206642,"Europe"
"EST","Estonia",15523949512,"Europe"
"FIN","Finland",60330574609,"Europe"
"FRA","France",472841266452,"Europe"
"GBR","United Kingdom",340780437333,"Europe"
"GRC","Greece",25119965430,"Europe"
"HUN","Hungary",111569530105,"Europe"
"IRL","Ireland",168492980045,"Europe"
"ISR","Israel",37209083000,"Middle East"
"ITA","Italy",462669534113,"Europe"
"JPN","Japan",264358220312,"Asia"
"LUX","Luxembourg",14170757878,"Europe"
"MEX","Mexico",427072287478,"North America"
"NLD","Netherlands",515571287829,"Europe"
"NOR","Norway",138049257615,"Europe"
"NZL","New Zealand",17149660923,"Oceania"
"POL","Poland",271093076397,"Europe"
"PRT","Portugal",64445330499,"Europe"
"SVK","Slovak Republic",90695487371,"Europe"
"SVN","Slovenia",35206466569,"Europe"
"SWE","Sweden",153774895087,"Europe"
"TUR","Türkiye",123953265026,"Middle East"
"USA","United States",1087702139870,"North America"
